Chao Yang,Bo Li,Yu Zhang,Nanxin Chen,Rohit Prabhavalkar,Tara N. Sainath,Trevor Strohman
Bo Li,DongSeon Hwang,Zhouyuan Huo,Junwen Bai,Guru Prakash,Tara N. Sainath,K. Sim,Yu Zhang,Wei Han,Trevor Strohman,F. Beaufays
Tsendsuren Munkhdalai,Zelin Wu,G. Pundak,K. Sim,Jiayang Li,Pat Rondon,Tara N. Sainath
Zhong Meng,Weiran Wang,Rohit Prabhavalkar,Tara N. Sainath,Tongzhou Chen,Ehsan Variani,Yu Zhang,Bo Li,A. Rosenberg,B. Ramabhadran
Cal Peyser,W. R. Huang,Tara N. Sainath,Rohit Prabhavalkar,M. Picheny,K. Cho
Ke Hu,Tara N. Sainath,Bo Li,Nan Du,Yanping Huang,Andrew M. Dai,Yu Zhang,Rodrigo Cabrera,Z. Chen,Trevor Strohman
Chaoyang Zhang,Bo Li,Tara N. Sainath,Trevor Strohman,Shuo-yiin Chang
Sepand Mavandadi,Bo Li,Chaoyang Zhang,B. Farris,Tara N. Sainath,Trevor Strohman
Tara N. Sainath,Yanzhang He,A. Narayanan,Rami Botros,Weiran Wang,David Qiu,C. Chiu,Rohit Prabhavalkar,Alexander Gruenstein,Anmol Gulati,Bo Li,David Rybach,Emmanuel Guzman,Ian McGraw,James Qin,K. Choromanski,Qiao Liang,R. David,Ruoming Pang,Shuo-yiin Chang,Trevor Strohman,W. R. Huang,Wei Han,Yonghui Wu,Yu Zhang
Hung-yi Lee,Abdel-rahman Mohamed,Shinji Watanabe,Tara N. Sainath,Karen Livescu,Shang-Wen Li,Shu-wen Yang,Katrin Kirchhoff
Tara N. Sainath,Rohit Prabhavalkar,Ankur Bapna,Yu Zhang,Zhouyuan Huo,Zhehuai Chen,Bo Li,Weiran Wang,Trevor Strohman
Abdel-rahman Mohamed,Hung-yi Lee,Lasse Borgholt,Jakob Drachmann Havtorn,Joakim Edin,C. Igel,Katrin Kirchhoff,Shang-Wen Li,Karen Livescu,Lars Maaløe,Tara N. Sainath,Shinji Watanabe
C. Yang,Bo Li,Yu Zhang,Nanxin Chen,Tara N. Sainath,S. M. Siniscalchi,Chin-Hui Lee
W. R. Huang,Shuo-yiin Chang,David Rybach,Rohit Prabhavalkar,Tara N. Sainath,Cyril Allauzen,Cal Peyser,Zhiyun Lu
Chao Zhang,Bo Li,Zhiyun Lu,Tara N. Sainath,Shuo-yiin Chang
Shaojin Ding,Weiran Wang,Ding Zhao,Tara N. Sainath,Yanzhang He,R. David,Rami Botros,Xin Wang,R. Panigrahy,Qiao Liang,Dongseong Hwang,Ian McGraw,Rohit Prabhavalkar,Trevor Strohman
Weiran Wang,Ke Hu,Tara N. Sainath
W. R. Huang,Cal Peyser,Tara N. Sainath,Ruoming Pang,Trevor Strohman,Shankar Kumar
Shuo-yiin Chang,Guru Prakash,Zelin Wu,Qiao Liang,Tara N. Sainath,Bo Li,A. Stambler,Shyam Upadhyay,Manaal Faruqui,Trevor Strohman
Weiran Wang,Tongzhou Chen,Tara N. Sainath,Ehsan Variani,Rohit Prabhavalkar,Ronny Huang,B. Ramabhadran,Neeraj Gaur,Sepand Mavandadi,Cal Peyser,Trevor Strohman,Yanzhang He,David Rybach
C. Zhang,Bo Li,Tara N. Sainath,Trevor Strohman,Sepand Mavandadi,Shuo-yiin Chang,Parisa Haghani
Zhouyuan Huo,K. Sim,Bo Li,DongSeon Hwang,Tara N. Sainath,Trevor Strohman
W. R. Huang,Shuo-yiin Chang,Tara N. Sainath,Yanzhang He,David Rybach,R. David,Rohit Prabhavalkar,Cyril Allauzen,Cal Peyser,Trevor Strohman
Hung-yi Lee,Shinji Watanabe,Karen Livescu,Abdel-rahman Mohamed,Tara N. Sainath
Bo Li,Ruoming Pang,Yu Zhang,Tara N. Sainath,Trevor Strohman,Parisa Haghani,Yun Zhu,B. Farris,Neeraj Gaur,Manasa Prasad
Ke Hu,Tara N. Sainath,A. Narayanan,Ruoming Pang,Trevor Strohman
Bo Li,Tara N. Sainath,Ruoming Pang,Shuo-yiin Chang,Qiumin Xu,Trevor Strohman,Vince Chen,Qiao Liang,Heguang Liu,Yanzhang He,Parisa Haghani,Sameer Bidichandani
Shaan Bijwadia,Shuo-yiin Chang,Bo Li,Tara N. Sainath,Chaoyang Zhang,Yanzhang He
Ke Hu,Tara N. Sainath,Yanzhang He,Rohit Prabhavalkar,Trevor Strohman,Sepand Mavandadi,Weiran Wang
Ke Hu,Bo Li,Tara N. Sainath
Shuo-yiin Chang,Bo Li,Tara N. Sainath,Chaoyang Zhang,Trevor Strohman,Qiao Liang,Yanzhang He
Tara N. Sainath,Yanzhang He,A. Narayanan,Rami Botros,Ruoming Pang,David Rybach,Cyril Allauzen,Ehsan Variani,James Qin,Quoc-Nam Le-The,Shuo-yiin Chang,Bo Li,Anmol Gulati,Jiahui Yu,C. Chiu,D. Caseiro,Wei Li,Qiao Liang,Pat Rondon
W. R. Huang,Tara N. Sainath,Cal Peyser,Shankar Kumar,David Rybach,Trevor Strohman
Weiran Wang,Ke Hu,Tara N. Sainath
Ke Hu,Ruoming Pang,Tara N. Sainath,Trevor Strohman
Yu Zhang,Daniel S. Park,Wei Han,James Qin,Anmol Gulati,Joel Shor,A. Jansen,Yuanzhong Xu,Yanping Huang,Shibo Wang,Zongwei Zhou,Bo Li,Min Ma,William Chan,Jiahui Yu,Yongqiang Wang,Liangliang Cao,K. Sim,B. Ramabhadran,Tara N. Sainath,Franccoise Beaufays,Zhifeng Chen,Quoc V. Le,C. Chiu,Ruoming Pang,Yonghui Wu
H. Shrivastava,Ankush Garg,Yuan Cao,Yu Zhang,Tara N. Sainath
Rami Botros,Tara N. Sainath,R. David,Emmanuel Guzman,Wei Li,Yanzhang He
Sepand Mavandadi,Tara N. Sainath,Ke Hu,Zelin Wu
Bo Li,Ruoming Pang,Tara N. Sainath,Anmol Gulati,Yu Zhang,James Qin,Parisa Haghani,W. R. Huang,Min Ma
Junwen Bai,Bo Li,Yu Zhang,Ankur Bapna,Nikhil Siddhartha,K. Sim,Tara N. Sainath
David Qiu,Qiujia Li,Yanzhang He,Yu Zhang,Bo Li,Liangliang Cao,Rohit Prabhavalkar,Deepti Bhatia,Wei Li,Ke Hu,Tara N. Sainath,Ian McGraw
Rohit Prabhavalkar,Yanzhang He,David Rybach,S. Campbell,A. Narayanan,Trevor Strohman,Tara N. Sainath
Bo Li,Shuo-yiin Chang,Tara N. Sainath,Ruoming Pang,Yanzhang He,Trevor Strohman,Yonghui Wu
C. Chiu,A. Narayanan,Wei Han,Rohit Prabhavalkar,Yu Zhang,N. Jaitly,Ruoming Pang,Tara N. Sainath,Patrick Nguyen,Liangliang Cao,Yonghui Wu
Tara N. Sainath,Yanzhang He,Bo Li,A. Narayanan,Ruoming Pang,A. Bruguier,Shuo-yiin Chang,Wei Li,R. Álvarez,Z. Chen,C. Chiu,David Garcia,Alexander Gruenstein,Ke Hu,Minho Jin,Anjuli Kannan,Qiao Liang,Ian McGraw,Cal Peyser,Rohit Prabhavalkar,G. Pundak,David Rybach,Yuan Shangguan,Y. Sheth,Trevor Strohman,Mirkó Visontai,Yonghui Wu,Yu Zhang,Ding Zhao
Bo Li,Anmol Gulati,Jiahui Yu,Tara N. Sainath,C. Chiu,A. Narayanan,Shuo-yiin Chang,Ruoming Pang,Yanzhang He,James Qin,Wei Han,Qiao Liang,Yu Zhang,Trevor Strohman,Yonghui Wu
Shuo-yiin Chang,Bo Li,David Rybach,Yanzhang He,Wei Li,Tara N. Sainath,Trevor Strohman
Tara N. Sainath,Ruoming Pang,Ron Weiss,Yanzhang He,C. Chiu,Trevor Strohman
Cal Peyser,Tara N. Sainath,G. Pundak
Ke Hu,Tara N. Sainath,Ruoming Pang,Rohit Prabhavalkar
Jiahui Yu,Wei Han,Anmol Gulati,C. Chiu,Bo Li,Tara N. Sainath,Yonghui Wu,Ruoming Pang
Peidong Wang,Tara N. Sainath,Ron J. Weiss
Tara N. Sainath,Ruoming Pang,David Rybach,Basi García,Trevor Strohman
