Date,Comparison_Type
20200101,7.118941072723508
20200102,5.930737337562887
20200103,4.247927513443585
20200104,2.807354922057604
20200105,2.807354922057604
20200106,3.700439718141092
20200107,2.807354922057604
20200108,3.700439718141092
20200109,3.807354922057604
20200110,4.169925001442312
20200111,2.321928094887362
20200112,2.584962500721156
20200113,3.584962500721156
20200114,3.807354922057604
20200115,4.169925001442312
20200116,3.0
20200117,4.087462841250339
20200118,1.0
20200119,1.584962500721156
20200120,4.247927513443585
20200121,4.087462841250339
20200122,4.807354922057604
20200123,4.247927513443585
20200124,4.0
20200125,2.807354922057604
20200126,2.0
20200127,4.169925001442312
20200128,3.9068905956085187
20200129,3.807354922057604
20200130,4.754887502163468
20200131,4.954196310386875
20200201,7.442943495848728
20200202,3.0
20200203,4.169925001442312
20200204,4.0
20200205,4.392317422778761
20200206,4.392317422778761
20200207,4.169925001442312
20200208,2.584962500721156
20200209,2.807354922057604
20200210,4.807354922057604
20200211,4.392317422778761
20200212,3.9068905956085187
20200213,4.643856189774724
20200214,4.523561956057013
20200215,3.4594316186372973
20200216,2.0
20200217,3.584962500721156
20200218,4.087462841250339
20200219,4.700439718141092
20200220,4.700439718141092
20200221,4.087462841250339
20200222,3.0
20200223,2.584962500721156
20200224,4.584962500721156
20200225,4.700439718141092
20200226,3.807354922057604
20200227,4.807354922057604
20200228,4.247927513443585
20200229,3.321928094887362
20200301,7.60733031374961
20200302,4.247927513443585
20200303,5.169925001442312
20200304,4.643856189774724
20200305,4.087462841250339
20200306,4.392317422778761
20200307,2.0
20200308,1.584962500721156
20200309,4.584962500721156
20200310,3.584962500721156
20200311,4.857980995127572
20200312,4.087462841250339
20200313,3.700439718141092
20200314,3.700439718141092
20200315,2.807354922057604
20200316,4.321928094887363
20200317,4.857980995127572
20200318,4.247927513443585
20200319,4.321928094887363
20200320,4.392317422778761
20200321,2.0
20200322,2.807354922057604
20200323,4.584962500721156
20200324,3.807354922057604
20200325,4.700439718141092
20200326,3.9068905956085187
20200327,4.0
20200328,2.584962500721156
20200329,1.584962500721156
20200330,4.700439718141092
20200331,5.0
20200401,7.357552004618084
20200402,4.754887502163468
20200403,4.857980995127572
20200404,3.0
20200405,3.321928094887362
20200406,4.247927513443585
20200407,4.459431618637297
20200408,4.321928094887363
20200409,4.807354922057604
20200410,3.9068905956085187
20200411,2.807354922057604
20200412,2.0
20200413,4.087462841250339
20200414,4.523561956057013
20200415,4.954196310386875
20200416,4.087462841250339
20200417,4.169925001442312
20200418,3.0
20200419,2.807354922057604
20200420,4.807354922057604
20200421,5.044394119358453
20200422,3.807354922057604
20200423,3.321928094887362
20200424,4.392317422778761
20200425,4.087462841250339
20200426,3.4594316186372973
20200427,4.247927513443585
20200428,4.169925001442312
20200429,4.321928094887363
20200430,5.087462841250339
20200501,8.909893083770042
20200502,3.169925001442312
20200503,3.700439718141092
20200504,4.584962500721156
20200505,3.807354922057604
20200506,4.459431618637297
20200507,4.523561956057013
20200508,3.321928094887362
20200509,2.0
20200510,4.0
20200511,5.0
20200512,4.700439718141092
20200513,4.754887502163468
20200514,4.643856189774724
20200515,5.285402218862249
20200516,4.247927513443585
20200517,3.807354922057604
20200518,5.285402218862249
20200519,4.954196310386875
20200520,4.857980995127572
20200521,4.643856189774724
20200522,4.643856189774724
20200523,3.0
20200524,3.584962500721156
20200525,7.0
20200526,4.754887502163468
20200527,4.754887502163468
20200528,4.954196310386875
20200529,4.584962500721156
20200530,3.0
20200531,3.584962500721156
20200601,7.531381460516312
20200602,5.0
20200603,4.459431618637297
20200604,4.700439718141092
20200605,4.754887502163468
20200606,3.169925001442312
20200607,2.321928094887362
20200608,4.321928094887363
20200609,4.087462841250339
20200610,4.321928094887363
20200611,4.584962500721156
20200612,4.906890595608519
20200613,2.584962500721156
20200614,2.807354922057604
20200615,4.584962500721156
20200616,4.459431618637297
20200617,4.169925001442312
20200618,4.247927513443585
20200619,4.321928094887363
20200620,3.0
20200621,1.584962500721156
20200622,3.700439718141092
20200623,4.169925001442312
20200624,4.247927513443585
20200625,4.954196310386875
20200626,4.0
20200627,2.807354922057604
20200628,2.321928094887362
20200629,3.9068905956085187
20200630,5.727920454563199
20200701,7.787902559391432
20200702,5.426264754702098
20200703,5.0
20200704,2.321928094887362
20200705,1.584962500721156
20200706,4.169925001442312
20200707,4.321928094887363
20200708,4.087462841250339
20200709,4.807354922057604
20200710,4.857980995127572
20200711,2.584962500721156
20200712,3.169925001442312
20200713,4.392317422778761
20200714,4.584962500721156
20200715,4.643856189774724
20200716,5.0
20200717,4.247927513443585
20200718,2.321928094887362
20200719,3.169925001442312
20200720,4.0
20200721,4.087462841250339
20200722,5.129283016944966
20200723,3.700439718141092
20200724,4.459431618637297
20200725,3.807354922057604
20200726,2.807354922057604
20200727,4.087462841250339
20200728,4.906890595608519
20200729,4.392317422778761
20200730,4.584962500721156
20200731,4.392317422778761
20200801,6.794415866350106
20200802,1.0
20200803,4.807354922057604
20200804,4.392317422778761
20200805,4.807354922057604
20200806,4.584962500721156
20200807,4.392317422778761
20200808,3.807354922057604
20200809,2.807354922057604
20200810,4.169925001442312
20200811,4.700439718141092
20200812,4.906890595608519
20200813,4.087462841250339
20200814,4.169925001442312
20200815,3.321928094887362
20200816,2.584962500721156
20200817,4.954196310386875
20200818,4.087462841250339
20200819,3.807354922057604
20200820,4.169925001442312
20200821,3.0
20200822,1.584962500721156
20200823,3.169925001442312
20200824,3.4594316186372973
20200825,4.392317422778761
20200826,3.169925001442312
20200827,4.584962500721156
20200828,3.9068905956085187
20200829,3.0
20200830,3.807354922057604
20200831,4.169925001442312
20200901,7.199672344836364
20200902,4.807354922057604
20200903,4.643856189774724
20200904,4.584962500721156
20200905,2.807354922057604
20200906,3.169925001442312
20200907,3.700439718141092
20200908,4.392317422778761
20200909,4.169925001442312
20200910,4.807354922057604
20200911,3.584962500721156
20200912,2.807354922057604
20200913,2.807354922057604
20200914,4.087462841250339
20200915,4.459431618637297
20200916,3.807354922057604
20200917,3.321928094887362
20200918,4.087462841250339
20200919,2.321928094887362
20200920,2.584962500721156
20200921,4.459431618637297
20200922,4.459431618637297
20200923,4.247927513443585
20200924,4.754887502163468
20200925,4.321928094887363
20200926,3.807354922057604
20200927,2.584962500721156
20200928,3.9068905956085187
20200929,3.700439718141092
20200930,5.129283016944966
20201001,6.930737337562887
20201002,4.0
20201003,2.321928094887362
20201004,2.807354922057604
20201005,4.459431618637297
20201006,4.643856189774724
20201007,5.321928094887363
20201008,4.0
20201009,4.321928094887363
20201010,2.807354922057604
20201011,3.169925001442312
20201012,4.754887502163468
20201013,4.321928094887363
20201014,4.392317422778761
20201015,4.392317422778761
20201016,4.754887502163468
20201017,3.0
20201018,2.321928094887362
20201019,4.754887502163468
20201020,5.321928094887363
20201021,5.832890014164741
20201022,5.523561956057013
20201023,5.129283016944966
20201024,4.247927513443585
20201025,8.370687406807217
20201026,4.954196310386875
20201027,5.321928094887363
20201028,5.087462841250339
20201029,4.643856189774724
20201030,4.906890595608519
20201031,4.0
20201101,7.087462841250339
20201102,4.700439718141092
20201103,4.807354922057604
20201104,4.754887502163468
20201105,5.523561956057013
20201106,4.906890595608519
20201107,3.169925001442312
20201108,3.4594316186372973
20201109,4.807354922057604
20201110,4.321928094887363
20201111,4.584962500721156
20201112,3.9068905956085187
20201113,4.321928094887363
20201114,3.0
20201115,2.584962500721156
20201116,4.906890595608519
20201117,4.807354922057604
20201118,4.087462841250339
20201119,3.321928094887362
20201120,4.857980995127572
20201121,2.321928094887362
20201122,2.0
20201123,4.754887502163468
20201124,4.169925001442312
20201125,4.700439718141092
20201126,4.087462841250339
20201127,3.700439718141092
20201128,3.321928094887362
20201129,2.584962500721156
20201130,5.129283016944966
20201201,7.149747119504682
20201202,4.247927513443585
20201203,4.523561956057013
20201204,4.392317422778761
20201205,2.321928094887362
20201206,2.321928094887362
20201207,5.78135971352466
20201208,4.392317422778761
20201209,3.321928094887362
20201210,4.643856189774724
20201211,4.247927513443585
20201212,2.0
20201213,2.0
20201214,5.0
20201215,5.20945336562895
20201216,4.392317422778761
20201217,4.643856189774724
20201218,4.169925001442312
20201219,2.0
20201220,1.0
20201221,3.9068905956085187
20201222,4.584962500721156
20201223,4.087462841250339
20201224,4.906890595608519
20201225,2.807354922057604
20201226,2.807354922057604
20201227,3.321928094887362
20201228,3.4594316186372973
20201229,4.643856189774724
20201230,4.087462841250339
20201231,5.491853096329675
20210101,7.03342300153745
20210102,4.906890595608519
20210103,2.807354922057604
20210104,4.700439718141092
20210105,4.247927513443585
20210106,4.247927513443585
20210107,4.0
20210108,4.459431618637297
20210109,2.807354922057604
20210110,4.321928094887363
20210111,4.459431618637297
20210112,4.807354922057604
20210113,4.087462841250339
20210114,4.392317422778761
20210115,4.321928094887363
20210116,3.584962500721156
20210117,3.169925001442312
20210118,4.321928094887363
20210119,5.882643049361842
20210120,4.906890595608519
20210121,4.954196310386875
20210122,4.169925001442312
20210123,3.169925001442312
20210124,5.672425341971495
20210125,4.321928094887363
20210126,5.169925001442312
20210127,4.523561956057013
20210128,4.857980995127572
20210129,3.700439718141092
20210130,4.087462841250339
20210131,4.321928094887363
20210201,6.930737337562887
20210202,4.321928094887363
20210203,5.169925001442312
20210204,4.247927513443585
20210205,4.754887502163468
20210206,2.584962500721156
20210207,3.584962500721156
20210208,4.584962500721156
20210209,4.584962500721156
20210210,4.459431618637297
20210211,4.459431618637297
20210212,5.044394119358453
20210213,3.584962500721156
20210214,2.807354922057604
20210215,4.754887502163468
20210216,4.857980995127572
20210217,4.169925001442312
20210218,4.807354922057604
20210219,5.129283016944966
20210220,3.4594316186372973
20210221,2.0
20210222,4.523561956057013
20210223,4.643856189774724
20210224,4.954196310386875
20210225,4.906890595608519
20210226,4.247927513443585
20210227,3.584962500721156
20210228,4.392317422778761
20210301,7.108524456778169
20210302,4.247927513443585
20210303,4.321928094887363
20210304,5.169925001442312
20210305,4.321928094887363
20210306,2.807354922057604
20210307,2.321928094887362
20210308,4.807354922057604
20210309,4.700439718141092
20210310,4.523561956057013
20210311,4.459431618637297
20210312,4.087462841250339
20210313,2.321928094887362
20210314,3.169925001442312
20210315,4.700439718141092
20210316,5.0
20210317,3.807354922057604
20210318,4.754887502163468
20210319,4.700439718141092
20210320,2.807354922057604
20210321,2.807354922057604
20210322,5.087462841250339
20210323,4.700439718141092
20210324,5.321928094887363
20210325,4.643856189774724
20210326,5.285402218862249
20210327,3.169925001442312
20210328,3.169925001442312
20210329,4.754887502163468
20210330,4.857980995127572
20210331,5.700439718141092
20210401,6.832890014164741
20210402,4.392317422778761
20210403,5.044394119358453
20210404,2.584962500721156
20210405,4.700439718141092
20210406,5.129283016944966
20210407,4.954196310386875
20210408,5.491853096329675
20210409,5.169925001442312
20210410,2.584962500721156
20210411,3.169925001442312
20210412,5.0
20210413,3.9068905956085187
20210414,4.584962500721156
20210415,5.169925001442312
20210416,4.643856189774724
20210417,3.584962500721156
20210418,2.807354922057604
20210419,4.906890595608519
20210420,4.392317422778761
20210421,4.321928094887363
20210422,4.643856189774724
20210423,4.643856189774724
20210424,3.169925001442312
20210425,3.584962500721156
20210426,4.459431618637297
20210427,4.906890595608519
20210428,5.0
20210429,4.700439718141092
20210430,4.700439718141092
20210501,6.066089190457772
20210502,2.0
20210503,3.9068905956085187
20210504,4.807354922057604
20210505,4.754887502163468
20210506,5.643856189774724
20210507,4.169925001442312
20210508,4.321928094887363
20210509,2.321928094887362
20210510,4.087462841250339
20210511,3.584962500721156
20210512,4.754887502163468
20210513,4.807354922057604
20210514,4.169925001442312
20210515,1.584962500721156
20210516,1.584962500721156
20210517,4.087462841250339
20210518,4.857980995127572
20210519,4.392317422778761
20210520,4.321928094887363
20210521,4.0
20210522,3.0
20210523,2.321928094887362
20210524,4.584962500721156
20210525,4.857980995127572
20210526,4.247927513443585
20210527,4.459431618637297
20210528,4.807354922057604
20210529,1.584962500721156
20210530,3.9068905956085187
20210531,4.906890595608519
20210601,7.05528243550119
20210602,4.857980995127572
20210603,5.044394119358453
20210604,4.321928094887363
20210605,3.169925001442312
20210606,7.679480099505446
20210607,4.169925001442312
20210608,4.643856189774724
20210609,4.321928094887363
20210610,4.321928094887363
20210611,4.906890595608519
20210612,3.0
20210613,2.584962500721156
20210614,5.672425341971495
20210615,4.906890595608519
20210616,5.169925001442312
20210617,5.0
20210618,4.087462841250339
20210619,3.0
20210620,2.807354922057604
20210621,4.954196310386875
20210622,4.954196310386875
20210623,4.392317422778761
20210624,4.754887502163468
20210625,4.523561956057013
20210626,3.584962500721156
20210627,2.321928094887362
20210628,5.087462841250339
20210629,4.906890595608519
20210630,5.614709844115208
20210701,6.614709844115208
20210702,4.523561956057013
20210703,4.0
20210704,2.584962500721156
20210705,4.459431618637297
20210706,4.857980995127572
20210707,4.321928094887363
20210708,4.643856189774724
20210709,5.044394119358453
20210710,3.807354922057604
20210711,3.169925001442312
20210712,4.0
20210713,4.169925001442312
20210714,4.087462841250339
20210715,4.857980995127572
20210716,4.087462841250339
20210717,2.321928094887362
20210718,4.247927513443585
20210719,4.321928094887363
20210720,4.087462841250339
20210721,4.392317422778761
20210722,3.169925001442312
20210723,5.044394119358453
20210724,3.0
20210725,1.584962500721156
20210726,5.0
20210727,4.906890595608519
20210728,4.321928094887363
20210729,4.584962500721156
20210730,4.392317422778761
20210731,4.087462841250339
20210801,6.491853096329675
20210802,4.392317422778761
20210803,4.392317422778761
20210804,4.523561956057013
20210805,4.247927513443585
20210806,4.392317422778761
20210807,3.321928094887362
20210808,2.584962500721156
20210809,4.392317422778761
20210810,3.9068905956085187
20210811,3.321928094887362
20210812,4.523561956057013
20210813,3.584962500721156
20210814,2.584962500721156
